epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,948.298,2.91001,17.0876,1.90977,0.00018,0.35165,9e-05,3e-05,1.30546,1431.02,0.99786,0.000662983,0.000662983,0.000662983
2,1810.82,2.99898,7.75817,1.9447,0.00036,0.57143,0.00882,0.00216,1.29833,18.0967,0.86339,0.00130332,0.00130332,0.00130332
3,2715.5,3.00805,5.04021,1.93826,0.00179,0.35165,0.01203,0.00257,1.34312,9.01934,0.86456,0.00191726,0.00191726,0.00191726
4,3599.66,3.05617,4.40498,1.99059,0.00064,0.68132,0.01905,0.00398,1.36542,12.8537,0.8863,0.0018812,0.0018812,0.0018812
5,4451.74,2.88658,3.89615,1.94912,0.05911,0.04396,0.0207,0.00825,1.19035,6.23693,0.80849,0.0018416,0.0018416,0.0018416
6,5299.91,2.88459,3.85882,1.93973,0.11259,0.05495,0.03204,0.0123,1.34439,3.84788,0.84405,0.001802,0.001802,0.001802
7,6168.54,2.79579,3.77217,1.86589,0.10389,0.02198,0.03798,0.00973,1.18373,3.76044,0.80468,0.0017624,0.0017624,0.0017624
8,7071.47,2.80708,3.60771,1.85564,0.11429,0.13187,0.04895,0.01329,1.22778,4.77511,0.85008,0.0017228,0.0017228,0.0017228
9,8050.39,2.76163,3.46566,1.87198,0.2111,0.15385,0.08897,0.0301,1.20703,4.02092,0.82429,0.0016832,0.0016832,0.0016832
10,9077.28,2.78874,3.44588,1.82959,0.17395,0.15385,0.12333,0.03681,1.09177,4.69986,0.7612,0.0016436,0.0016436,0.0016436
11,10142.5,2.66153,3.28511,1.80968,0.24752,0.13378,0.12546,0.03698,1.06846,3.0178,0.74706,0.001604,0.001604,0.001604
12,11244.5,2.58401,3.30308,1.80344,0.23869,0.17582,0.12583,0.03531,1.05288,4.47872,0.73656,0.0015644,0.0015644,0.0015644
13,12381.4,2.74803,3.27785,1.8822,0.19028,0.18681,0.11999,0.03063,1.1563,6.53473,0.76935,0.0015248,0.0015248,0.0015248
14,13530.8,2.50174,3.00331,1.70343,0.35443,0.16484,0.15024,0.04292,1.13445,3.11202,0.76327,0.0014852,0.0014852,0.0014852
15,14671.2,2.52259,3.0102,1.70802,0.20744,0.15385,0.1033,0.0286,1.07562,4.20184,0.71396,0.0014456,0.0014456,0.0014456
